system,stratum_quantile,query,unit,window_index,method,step,value
building_energy,0.25,Appliances,Wh,6,observed,-47,250.0
building_energy,0.25,Appliances,Wh,6,observed,-46,110.0
building_energy,0.25,Appliances,Wh,6,observed,-45,130.0
building_energy,0.25,Appliances,Wh,6,observed,-44,430.0
building_energy,0.25,Appliances,Wh,6,observed,-43,300.0
building_energy,0.25,Appliances,Wh,6,observed,-42,270.0
building_energy,0.25,Appliances,Wh,6,observed,-41,240.0
building_energy,0.25,Appliances,Wh,6,observed,-40,220.0
building_energy,0.25,Appliances,Wh,6,observed,-39,360.0
building_energy,0.25,Appliances,Wh,6,observed,-38,430.0
building_energy,0.25,Appliances,Wh,6,observed,-37,450.0
building_energy,0.25,Appliances,Wh,6,observed,-36,440.0
building_energy,0.25,Appliances,Wh,6,observed,-35,410.0
building_energy,0.25,Appliances,Wh,6,observed,-34,100.0
building_energy,0.25,Appliances,Wh,6,observed,-33,120.0
building_energy,0.25,Appliances,Wh,6,observed,-32,110.0
building_energy,0.25,Appliances,Wh,6,observed,-31,120.0
building_energy,0.25,Appliances,Wh,6,observed,-30,120.0
building_energy,0.25,Appliances,Wh,6,observed,-29,100.0
building_energy,0.25,Appliances,Wh,6,observed,-28,170.0
building_energy,0.25,Appliances,Wh,6,observed,-27,100.0
building_energy,0.25,Appliances,Wh,6,observed,-26,90.0
building_energy,0.25,Appliances,Wh,6,observed,-25,90.0
building_energy,0.25,Appliances,Wh,6,observed,-24,90.0
building_energy,0.25,Appliances,Wh,6,observed,-23,120.0
building_energy,0.25,Appliances,Wh,6,observed,-22,120.0
building_energy,0.25,Appliances,Wh,6,observed,-21,110.0
building_energy,0.25,Appliances,Wh,6,observed,-20,110.0
building_energy,0.25,Appliances,Wh,6,observed,-19,100.0
building_energy,0.25,Appliances,Wh,6,observed,-18,100.0
building_energy,0.25,Appliances,Wh,6,observed,-17,70.0
building_energy,0.25,Appliances,Wh,6,observed,-16,80.0
building_energy,0.25,Appliances,Wh,6,observed,-15,80.0
building_energy,0.25,Appliances,Wh,6,observed,-14,80.0
building_energy,0.25,Appliances,Wh,6,observed,-13,80.0
building_energy,0.25,Appliances,Wh,6,observed,-12,90.0
building_energy,0.25,Appliances,Wh,6,observed,-11,80.0
building_energy,0.25,Appliances,Wh,6,observed,-10,70.0
building_energy,0.25,Appliances,Wh,6,observed,-9,60.0
building_energy,0.25,Appliances,Wh,6,observed,-8,40.0
building_energy,0.25,Appliances,Wh,6,observed,-7,40.0
building_energy,0.25,Appliances,Wh,6,observed,-6,30.0
building_energy,0.25,Appliances,Wh,6,observed,-5,50.0
building_energy,0.25,Appliances,Wh,6,observed,-4,60.0
building_energy,0.25,Appliances,Wh,6,observed,-3,60.0
building_energy,0.25,Appliances,Wh,6,observed,-2,50.0
building_energy,0.25,Appliances,Wh,6,observed,-1,50.0
building_energy,0.25,Appliances,Wh,6,observed,0,50.0
building_energy,0.25,Appliances,Wh,6,observed,1,60.0
building_energy,0.25,Appliances,Wh,6,observed,2,50.0
building_energy,0.25,Appliances,Wh,6,observed,3,60.0
building_energy,0.25,Appliances,Wh,6,observed,4,60.0
building_energy,0.25,Appliances,Wh,6,observed,5,60.0
building_energy,0.25,Appliances,Wh,6,observed,6,50.0
building_energy,0.25,Appliances,Wh,6,observed,7,50.0
building_energy,0.25,Appliances,Wh,6,observed,8,50.0
building_energy,0.25,Appliances,Wh,6,observed,9,50.0
building_energy,0.25,Appliances,Wh,6,observed,10,50.0
building_energy,0.25,Appliances,Wh,6,observed,11,20.0
building_energy,0.25,Appliances,Wh,6,observed,12,40.0
building_energy,0.25,Appliances,Wh,6,observed,13,30.0
building_energy,0.25,Appliances,Wh,6,observed,14,50.0
building_energy,0.25,Appliances,Wh,6,observed,15,60.0
building_energy,0.25,Appliances,Wh,6,observed,16,40.0
building_energy,0.25,Appliances,Wh,6,observed,17,50.0
building_energy,0.25,Appliances,Wh,6,observed,18,50.0
building_energy,0.25,Appliances,Wh,6,observed,19,50.0
building_energy,0.25,Appliances,Wh,6,observed,20,60.0
building_energy,0.25,Appliances,Wh,6,observed,21,60.0
building_energy,0.25,Appliances,Wh,6,observed,22,50.0
building_energy,0.25,Appliances,Wh,6,observed,23,50.0
building_energy,0.25,Appliances,Wh,6,observed,24,50.0
building_energy,0.25,Appliances,Wh,6,moirai,1,50.75201416015625
building_energy,0.25,Appliances,Wh,6,moirai,2,49.363494873046875
building_energy,0.25,Appliances,Wh,6,moirai,3,47.76555633544922
building_energy,0.25,Appliances,Wh,6,moirai,4,49.813209533691406
building_energy,0.25,Appliances,Wh,6,moirai,5,50.660499572753906
building_energy,0.25,Appliances,Wh,6,moirai,6,48.91552734375
building_energy,0.25,Appliances,Wh,6,moirai,7,58.94291305541992
building_energy,0.25,Appliances,Wh,6,moirai,8,53.685523986816406
building_energy,0.25,Appliances,Wh,6,moirai,9,48.08415985107422
building_energy,0.25,Appliances,Wh,6,moirai,10,48.857505798339844
building_energy,0.25,Appliances,Wh,6,moirai,11,52.15232849121094
building_energy,0.25,Appliances,Wh,6,moirai,12,50.921058654785156
building_energy,0.25,Appliances,Wh,6,moirai,13,62.927703857421875
building_energy,0.25,Appliances,Wh,6,moirai,14,62.6820182800293
building_energy,0.25,Appliances,Wh,6,moirai,15,63.79279708862305
building_energy,0.25,Appliances,Wh,6,moirai,16,64.88490295410156
building_energy,0.25,Appliances,Wh,6,moirai,17,64.817626953125
building_energy,0.25,Appliances,Wh,6,moirai,18,71.29899597167969
building_energy,0.25,Appliances,Wh,6,moirai,19,54.96002197265625
building_energy,0.25,Appliances,Wh,6,moirai,20,56.342926025390625
building_energy,0.25,Appliances,Wh,6,moirai,21,60.10783386230469
building_energy,0.25,Appliances,Wh,6,moirai,22,72.42355346679688
building_energy,0.25,Appliances,Wh,6,moirai,23,64.72086334228516
building_energy,0.25,Appliances,Wh,6,moirai,24,63.60285186767578
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,1,50.75201416015625
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,2,49.363494873046875
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,3,47.76555633544922
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,4,49.813209533691406
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,5,50.660499572753906
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,6,48.91552734375
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,7,58.94291305541992
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,8,53.685523986816406
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,9,48.08415985107422
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,10,48.857505798339844
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,11,52.15232849121094
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,12,50.921058654785156
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,13,62.927703857421875
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,14,62.6820182800293
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,15,63.79279708862305
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,16,64.88490295410156
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,17,64.817626953125
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,18,71.29899597167969
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,19,54.96002197265625
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,20,56.342926025390625
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,21,60.10783386230469
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,22,72.42355346679688
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,23,64.72086334228516
building_energy,0.25,Appliances,Wh,6,gaugeformer_v13,24,63.60285186767578
building_energy,0.75,Appliances,Wh,88,observed,-95,60.0
building_energy,0.75,Appliances,Wh,88,observed,-94,50.0
building_energy,0.75,Appliances,Wh,88,observed,-93,50.0
building_energy,0.75,Appliances,Wh,88,observed,-92,50.0
building_energy,0.75,Appliances,Wh,88,observed,-91,50.0
building_energy,0.75,Appliances,Wh,88,observed,-90,60.0
building_energy,0.75,Appliances,Wh,88,observed,-89,50.0
building_energy,0.75,Appliances,Wh,88,observed,-88,50.0
building_energy,0.75,Appliances,Wh,88,observed,-87,60.0
building_energy,0.75,Appliances,Wh,88,observed,-86,60.0
building_energy,0.75,Appliances,Wh,88,observed,-85,50.0
building_energy,0.75,Appliances,Wh,88,observed,-84,60.0
building_energy,0.75,Appliances,Wh,88,observed,-83,50.0
building_energy,0.75,Appliances,Wh,88,observed,-82,60.0
building_energy,0.75,Appliances,Wh,88,observed,-81,50.0
building_energy,0.75,Appliances,Wh,88,observed,-80,40.0
building_energy,0.75,Appliances,Wh,88,observed,-79,60.0
building_energy,0.75,Appliances,Wh,88,observed,-78,30.0
building_energy,0.75,Appliances,Wh,88,observed,-77,40.0
building_energy,0.75,Appliances,Wh,88,observed,-76,30.0
building_energy,0.75,Appliances,Wh,88,observed,-75,40.0
building_energy,0.75,Appliances,Wh,88,observed,-74,40.0
building_energy,0.75,Appliances,Wh,88,observed,-73,50.0
building_energy,0.75,Appliances,Wh,88,observed,-72,60.0
building_energy,0.75,Appliances,Wh,88,observed,-71,50.0
building_energy,0.75,Appliances,Wh,88,observed,-70,60.0
building_energy,0.75,Appliances,Wh,88,observed,-69,40.0
building_energy,0.75,Appliances,Wh,88,observed,-68,50.0
building_energy,0.75,Appliances,Wh,88,observed,-67,60.0
building_energy,0.75,Appliances,Wh,88,observed,-66,40.0
building_energy,0.75,Appliances,Wh,88,observed,-65,60.0
building_energy,0.75,Appliances,Wh,88,observed,-64,60.0
building_energy,0.75,Appliances,Wh,88,observed,-63,60.0
building_energy,0.75,Appliances,Wh,88,observed,-62,60.0
building_energy,0.75,Appliances,Wh,88,observed,-61,50.0
building_energy,0.75,Appliances,Wh,88,observed,-60,50.0
building_energy,0.75,Appliances,Wh,88,observed,-59,60.0
building_energy,0.75,Appliances,Wh,88,observed,-58,40.0
building_energy,0.75,Appliances,Wh,88,observed,-57,60.0
building_energy,0.75,Appliances,Wh,88,observed,-56,50.0
building_energy,0.75,Appliances,Wh,88,observed,-55,90.0
building_energy,0.75,Appliances,Wh,88,observed,-54,80.0
building_energy,0.75,Appliances,Wh,88,observed,-53,50.0
building_energy,0.75,Appliances,Wh,88,observed,-52,60.0
building_energy,0.75,Appliances,Wh,88,observed,-51,60.0
building_energy,0.75,Appliances,Wh,88,observed,-50,220.0
building_energy,0.75,Appliances,Wh,88,observed,-49,190.0
building_energy,0.75,Appliances,Wh,88,observed,-48,120.0
building_energy,0.75,Appliances,Wh,88,observed,-47,70.0
building_energy,0.75,Appliances,Wh,88,observed,-46,50.0
building_energy,0.75,Appliances,Wh,88,observed,-45,150.0
building_energy,0.75,Appliances,Wh,88,observed,-44,130.0
building_energy,0.75,Appliances,Wh,88,observed,-43,120.0
building_energy,0.75,Appliances,Wh,88,observed,-42,110.0
building_energy,0.75,Appliances,Wh,88,observed,-41,80.0
building_energy,0.75,Appliances,Wh,88,observed,-40,100.0
building_energy,0.75,Appliances,Wh,88,observed,-39,100.0
building_energy,0.75,Appliances,Wh,88,observed,-38,100.0
building_energy,0.75,Appliances,Wh,88,observed,-37,70.0
building_energy,0.75,Appliances,Wh,88,observed,-36,80.0
building_energy,0.75,Appliances,Wh,88,observed,-35,80.0
building_energy,0.75,Appliances,Wh,88,observed,-34,200.0
building_energy,0.75,Appliances,Wh,88,observed,-33,110.0
building_energy,0.75,Appliances,Wh,88,observed,-32,110.0
building_energy,0.75,Appliances,Wh,88,observed,-31,100.0
building_energy,0.75,Appliances,Wh,88,observed,-30,100.0
building_energy,0.75,Appliances,Wh,88,observed,-29,110.0
building_energy,0.75,Appliances,Wh,88,observed,-28,100.0
building_energy,0.75,Appliances,Wh,88,observed,-27,110.0
building_energy,0.75,Appliances,Wh,88,observed,-26,110.0
building_energy,0.75,Appliances,Wh,88,observed,-25,90.0
building_energy,0.75,Appliances,Wh,88,observed,-24,100.0
building_energy,0.75,Appliances,Wh,88,observed,-23,90.0
building_energy,0.75,Appliances,Wh,88,observed,-22,110.0
building_energy,0.75,Appliances,Wh,88,observed,-21,100.0
building_energy,0.75,Appliances,Wh,88,observed,-20,90.0
building_energy,0.75,Appliances,Wh,88,observed,-19,110.0
building_energy,0.75,Appliances,Wh,88,observed,-18,110.0
building_energy,0.75,Appliances,Wh,88,observed,-17,100.0
building_energy,0.75,Appliances,Wh,88,observed,-16,260.0
building_energy,0.75,Appliances,Wh,88,observed,-15,160.0
building_energy,0.75,Appliances,Wh,88,observed,-14,80.0
building_energy,0.75,Appliances,Wh,88,observed,-13,80.0
building_energy,0.75,Appliances,Wh,88,observed,-12,90.0
building_energy,0.75,Appliances,Wh,88,observed,-11,90.0
building_energy,0.75,Appliances,Wh,88,observed,-10,70.0
building_energy,0.75,Appliances,Wh,88,observed,-9,100.0
building_energy,0.75,Appliances,Wh,88,observed,-8,100.0
building_energy,0.75,Appliances,Wh,88,observed,-7,100.0
building_energy,0.75,Appliances,Wh,88,observed,-6,80.0
building_energy,0.75,Appliances,Wh,88,observed,-5,90.0
building_energy,0.75,Appliances,Wh,88,observed,-4,100.0
building_energy,0.75,Appliances,Wh,88,observed,-3,90.0
building_energy,0.75,Appliances,Wh,88,observed,-2,100.0
building_energy,0.75,Appliances,Wh,88,observed,-1,100.0
building_energy,0.75,Appliances,Wh,88,observed,0,110.0
building_energy,0.75,Appliances,Wh,88,observed,1,130.0
building_energy,0.75,Appliances,Wh,88,observed,2,110.0
building_energy,0.75,Appliances,Wh,88,observed,3,110.0
building_energy,0.75,Appliances,Wh,88,observed,4,300.0
building_energy,0.75,Appliances,Wh,88,observed,5,360.0
building_energy,0.75,Appliances,Wh,88,observed,6,140.0
building_energy,0.75,Appliances,Wh,88,observed,7,100.0
building_energy,0.75,Appliances,Wh,88,observed,8,200.0
building_energy,0.75,Appliances,Wh,88,observed,9,330.0
building_energy,0.75,Appliances,Wh,88,observed,10,290.0
building_energy,0.75,Appliances,Wh,88,observed,11,120.0
building_energy,0.75,Appliances,Wh,88,observed,12,80.0
building_energy,0.75,Appliances,Wh,88,observed,13,80.0
building_energy,0.75,Appliances,Wh,88,observed,14,100.0
building_energy,0.75,Appliances,Wh,88,observed,15,110.0
building_energy,0.75,Appliances,Wh,88,observed,16,100.0
building_energy,0.75,Appliances,Wh,88,observed,17,110.0
building_energy,0.75,Appliances,Wh,88,observed,18,100.0
building_energy,0.75,Appliances,Wh,88,observed,19,100.0
building_energy,0.75,Appliances,Wh,88,observed,20,80.0
building_energy,0.75,Appliances,Wh,88,observed,21,100.0
building_energy,0.75,Appliances,Wh,88,observed,22,90.0
building_energy,0.75,Appliances,Wh,88,observed,23,100.0
building_energy,0.75,Appliances,Wh,88,observed,24,90.0
building_energy,0.75,Appliances,Wh,88,moirai,1,103.96134185791016
building_energy,0.75,Appliances,Wh,88,moirai,2,102.2554931640625
building_energy,0.75,Appliances,Wh,88,moirai,3,95.5937728881836
building_energy,0.75,Appliances,Wh,88,moirai,4,99.15582275390625
building_energy,0.75,Appliances,Wh,88,moirai,5,99.11543273925781
building_energy,0.75,Appliances,Wh,88,moirai,6,100.45820617675781
building_energy,0.75,Appliances,Wh,88,moirai,7,99.31659698486328
building_energy,0.75,Appliances,Wh,88,moirai,8,106.33343505859375
building_energy,0.75,Appliances,Wh,88,moirai,9,101.8824462890625
building_energy,0.75,Appliances,Wh,88,moirai,10,96.66461181640625
building_energy,0.75,Appliances,Wh,88,moirai,11,93.88314056396484
building_energy,0.75,Appliances,Wh,88,moirai,12,92.08799743652344
building_energy,0.75,Appliances,Wh,88,moirai,13,95.90354919433594
building_energy,0.75,Appliances,Wh,88,moirai,14,93.2930679321289
building_energy,0.75,Appliances,Wh,88,moirai,15,92.74246215820312
building_energy,0.75,Appliances,Wh,88,moirai,16,91.5783920288086
building_energy,0.75,Appliances,Wh,88,moirai,17,77.01275634765625
building_energy,0.75,Appliances,Wh,88,moirai,18,74.97166442871094
building_energy,0.75,Appliances,Wh,88,moirai,19,97.31105041503906
building_energy,0.75,Appliances,Wh,88,moirai,20,94.07019805908203
building_energy,0.75,Appliances,Wh,88,moirai,21,88.70430755615234
building_energy,0.75,Appliances,Wh,88,moirai,22,72.92930603027344
building_energy,0.75,Appliances,Wh,88,moirai,23,81.93770599365234
building_energy,0.75,Appliances,Wh,88,moirai,24,72.5335464477539
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,1,101.98066711425781
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,2,101.12774658203125
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,3,97.79689025878906
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,4,99.57791137695312
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,5,99.5577163696289
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,6,100.2291030883789
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,7,99.65829467773438
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,8,103.16671752929688
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,9,100.94122314453125
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,10,98.33230590820312
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,11,96.94157409667969
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,12,96.04399871826172
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,13,97.95177459716797
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,14,96.64653015136719
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,15,96.37123107910156
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,16,95.78919982910156
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,17,88.50637817382812
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,18,87.48583221435547
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,19,98.65552520751953
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,20,97.03509521484375
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,21,94.35215759277344
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,22,86.46465301513672
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,23,90.96885681152344
building_energy,0.75,Appliances,Wh,88,gaugeformer_v13,24,86.26676940917969
building_energy,0.25,Appliances,Wh,6,unitime,1,112.683349609375
building_energy,0.25,Appliances,Wh,6,unitime,2,131.194580078125
building_energy,0.25,Appliances,Wh,6,unitime,3,119.90078735351562
building_energy,0.25,Appliances,Wh,6,unitime,4,114.49014282226562
building_energy,0.25,Appliances,Wh,6,unitime,5,123.05756378173828
building_energy,0.25,Appliances,Wh,6,unitime,6,126.51686096191406
building_energy,0.25,Appliances,Wh,6,unitime,7,129.3137664794922
building_energy,0.25,Appliances,Wh,6,unitime,8,117.01777648925781
building_energy,0.25,Appliances,Wh,6,unitime,9,91.97216033935547
building_energy,0.25,Appliances,Wh,6,unitime,10,91.52189636230469
building_energy,0.25,Appliances,Wh,6,unitime,11,84.0026626586914
building_energy,0.25,Appliances,Wh,6,unitime,12,87.61886596679688
building_energy,0.25,Appliances,Wh,6,unitime,13,113.01751708984375
building_energy,0.25,Appliances,Wh,6,unitime,14,112.5536880493164
building_energy,0.25,Appliances,Wh,6,unitime,15,108.96025848388672
building_energy,0.25,Appliances,Wh,6,unitime,16,120.26448059082031
building_energy,0.25,Appliances,Wh,6,unitime,17,101.72235107421875
building_energy,0.25,Appliances,Wh,6,unitime,18,94.11945343017578
building_energy,0.25,Appliances,Wh,6,unitime,19,122.53579711914062
building_energy,0.25,Appliances,Wh,6,unitime,20,107.66677856445312
building_energy,0.25,Appliances,Wh,6,unitime,21,107.2337646484375
building_energy,0.25,Appliances,Wh,6,unitime,22,102.83444213867188
building_energy,0.25,Appliances,Wh,6,unitime,23,87.02200317382812
building_energy,0.25,Appliances,Wh,6,unitime,24,60.39221954345703
building_energy,0.75,Appliances,Wh,88,unitime,1,64.33296203613281
building_energy,0.75,Appliances,Wh,88,unitime,2,81.5055923461914
building_energy,0.75,Appliances,Wh,88,unitime,3,66.24420928955078
building_energy,0.75,Appliances,Wh,88,unitime,4,59.37447738647461
building_energy,0.75,Appliances,Wh,88,unitime,5,68.40210723876953
building_energy,0.75,Appliances,Wh,88,unitime,6,73.01789855957031
building_energy,0.75,Appliances,Wh,88,unitime,7,75.69158172607422
building_energy,0.75,Appliances,Wh,88,unitime,8,77.31086730957031
building_energy,0.75,Appliances,Wh,88,unitime,9,73.28646850585938
building_energy,0.75,Appliances,Wh,88,unitime,10,69.45845031738281
building_energy,0.75,Appliances,Wh,88,unitime,11,70.705322265625
building_energy,0.75,Appliances,Wh,88,unitime,12,80.28416442871094
building_energy,0.75,Appliances,Wh,88,unitime,13,86.05142974853516
building_energy,0.75,Appliances,Wh,88,unitime,14,83.4535903930664
building_energy,0.75,Appliances,Wh,88,unitime,15,83.16065216064453
building_energy,0.75,Appliances,Wh,88,unitime,16,84.74830627441406
building_energy,0.75,Appliances,Wh,88,unitime,17,79.94129943847656
building_energy,0.75,Appliances,Wh,88,unitime,18,85.01256561279297
building_energy,0.75,Appliances,Wh,88,unitime,19,86.48030090332031
building_energy,0.75,Appliances,Wh,88,unitime,20,91.29916381835938
building_energy,0.75,Appliances,Wh,88,unitime,21,81.7509994506836
building_energy,0.75,Appliances,Wh,88,unitime,22,84.97689819335938
building_energy,0.75,Appliances,Wh,88,unitime,23,83.52322387695312
building_energy,0.75,Appliances,Wh,88,unitime,24,70.77679443359375
building_energy,0.25,Appliances,Wh,6,timer_xl,1,58.93244552612305
building_energy,0.25,Appliances,Wh,6,timer_xl,2,44.65815353393555
building_energy,0.25,Appliances,Wh,6,timer_xl,3,42.79397201538086
building_energy,0.25,Appliances,Wh,6,timer_xl,4,44.11037063598633
building_energy,0.25,Appliances,Wh,6,timer_xl,5,39.585174560546875
building_energy,0.25,Appliances,Wh,6,timer_xl,6,42.91831588745117
building_energy,0.25,Appliances,Wh,6,timer_xl,7,49.522647857666016
building_energy,0.25,Appliances,Wh,6,timer_xl,8,48.05760955810547
building_energy,0.25,Appliances,Wh,6,timer_xl,9,48.00874328613281
building_energy,0.25,Appliances,Wh,6,timer_xl,10,44.185672760009766
building_energy,0.25,Appliances,Wh,6,timer_xl,11,38.996826171875
building_energy,0.25,Appliances,Wh,6,timer_xl,12,46.79922103881836
building_energy,0.25,Appliances,Wh,6,timer_xl,13,52.23377227783203
building_energy,0.25,Appliances,Wh,6,timer_xl,14,51.55265808105469
building_energy,0.25,Appliances,Wh,6,timer_xl,15,52.180198669433594
building_energy,0.25,Appliances,Wh,6,timer_xl,16,49.869285583496094
building_energy,0.25,Appliances,Wh,6,timer_xl,17,53.98920440673828
building_energy,0.25,Appliances,Wh,6,timer_xl,18,57.80390167236328
building_energy,0.25,Appliances,Wh,6,timer_xl,19,54.506465911865234
building_energy,0.25,Appliances,Wh,6,timer_xl,20,55.602169036865234
building_energy,0.25,Appliances,Wh,6,timer_xl,21,47.72714614868164
building_energy,0.25,Appliances,Wh,6,timer_xl,22,51.20415115356445
building_energy,0.25,Appliances,Wh,6,timer_xl,23,50.11948776245117
building_energy,0.25,Appliances,Wh,6,timer_xl,24,51.89474105834961
building_energy,0.75,Appliances,Wh,88,timer_xl,1,103.7852554321289
building_energy,0.75,Appliances,Wh,88,timer_xl,2,97.27519989013672
building_energy,0.75,Appliances,Wh,88,timer_xl,3,94.60110473632812
building_energy,0.75,Appliances,Wh,88,timer_xl,4,89.87396240234375
building_energy,0.75,Appliances,Wh,88,timer_xl,5,87.1287841796875
building_energy,0.75,Appliances,Wh,88,timer_xl,6,88.04954528808594
building_energy,0.75,Appliances,Wh,88,timer_xl,7,87.29926300048828
building_energy,0.75,Appliances,Wh,88,timer_xl,8,88.88906860351562
building_energy,0.75,Appliances,Wh,88,timer_xl,9,89.32819366455078
building_energy,0.75,Appliances,Wh,88,timer_xl,10,90.19181823730469
building_energy,0.75,Appliances,Wh,88,timer_xl,11,88.88809967041016
building_energy,0.75,Appliances,Wh,88,timer_xl,12,89.32164764404297
building_energy,0.75,Appliances,Wh,88,timer_xl,13,85.97647094726562
building_energy,0.75,Appliances,Wh,88,timer_xl,14,86.20367431640625
building_energy,0.75,Appliances,Wh,88,timer_xl,15,82.76817321777344
building_energy,0.75,Appliances,Wh,88,timer_xl,16,84.74787902832031
building_energy,0.75,Appliances,Wh,88,timer_xl,17,86.45227813720703
building_energy,0.75,Appliances,Wh,88,timer_xl,18,83.84002685546875
building_energy,0.75,Appliances,Wh,88,timer_xl,19,85.97145080566406
building_energy,0.75,Appliances,Wh,88,timer_xl,20,84.35836791992188
building_energy,0.75,Appliances,Wh,88,timer_xl,21,82.7768783569336
